user_id,timestamp,city,country,lat,lon,ip,os,browser,failed_attempts,files_downloaded,mb_downloaded,api_calls,sensitive_access,session_minutes,scenario
EMP013,2026-08-04T03:42:00,Kolkata,India,22.57,88.36,106.7.36.161,Windows 11,Chrome,0,8,7.3,74,0,234,
EMP014,2026-08-04T05:03:00,Bengaluru,India,12.97,77.59,49.153.155.162,Android,Chrome Mobile,0,22,45.4,438,3,219,
EMP001,2026-08-04T09:04:00,Chennai,India,13.08,80.27,157.31.203.13,Windows 11,Chrome,0,5,6.9,160,0,40,
EMP002,2026-08-04T11:18:00,Chennai,India,13.08,80.27,106.41.153.135,Windows 11,Edge,0,15,14.3,26,5,190,
EMP009,2026-08-04T11:35:00,Mumbai,India,19.08,72.88,106.132.103.216,iOS,Safari,0,15,109.9,19,0,278,
EMP004,2026-08-04T12:03:00,Bengaluru,India,12.97,77.59,122.200.203.103,Ubuntu,Firefox,0,40,170.0,798,1,151,
EMP008,2026-08-04T12:18:00,Pune,India,18.52,73.86,106.2.76.45,Windows 11,Chrome,0,12,8.3,16,3,193,
EMP012,2026-08-04T13:05:00,Hyderabad,India,17.39,78.49,157.66.22.135,Windows 11,Edge,0,11,24.6,520,4,196,
EMP005,2026-08-04T15:03:00,Mumbai,India,19.08,72.88,117.186.242.32,Windows 11,Chrome,2,7,18.9,16,0,149,
EMP007,2026-08-04T15:29:00,Delhi,India,28.61,77.21,106.222.99.212,Windows 11,Edge,1,12,10.1,8,5,175,
EMP010,2026-08-04T16:28:00,Chennai,India,13.08,80.27,122.112.48.102,macOS,Chrome,0,7,13.2,294,0,314,
EMP003,2026-08-04T17:18:00,Bengaluru,India,12.97,77.59,122.35.47.242,macOS,Safari,0,8,4.2,25,2,178,
EMP006,2026-08-04T17:30:00,Hyderabad,India,17.39,78.49,106.244.91.112,macOS,Chrome,0,54,441.8,312,5,299,
EMP015,2026-08-04T17:54:00,Vellore,India,12.92,79.13,49.117.43.8,Windows 11,Chrome,0,15,17.6,41,1,178,
EMP011,2026-08-04T18:53:00,Chennai,India,13.08,80.27,117.207.76.138,macOS,Safari,0,20,28.1,12,13,319,
EMP013,2026-08-04T23:16:00,Kolkata,India,22.57,88.36,122.125.228.28,Android,Chrome Mobile,0,8,9.7,144,2,185,
EMP007,2026-08-05T09:16:00,Delhi,India,28.61,77.21,106.120.167.221,Windows 11,Edge,0,15,21.2,9,6,309,
EMP001,2026-08-05T10:24:00,Kolkata,India,22.57,88.36,117.120.105.60,Windows 11,Chrome,0,9,18.5,164,1,240,
EMP012,2026-08-05T10:36:00,Hyderabad,India,17.39,78.49,122.199.188.115,Windows 11,Edge,0,13,27.2,438,3,136,
EMP002,2026-08-05T12:04:00,Chennai,India,13.08,80.27,122.201.12.41,Windows 11,Edge,0,3,1.9,36,0,221,
EMP008,2026-08-05T12:47:00,Pune,India,18.52,73.86,122.191.20.225,Windows 11,Chrome,0,19,12.7,17,15,288,
EMP006,2026-08-05T13:01:00,Hyderabad,India,17.39,78.49,157.173.185.70,macOS,Chrome,0,43,331.0,431,7,273,
EMP009,2026-08-05T13:38:00,Mumbai,India,19.08,72.88,122.247.32.105,macOS,Safari,0,21,169.4,13,1,370,
EMP007,2026-08-05T14:29:00,Delhi,India,28.61,77.21,122.228.88.60,Windows 11,Edge,0,11,8.8,11,7,382,
EMP015,2026-08-05T15:26:00,Bengaluru,India,12.97,77.59,117.205.135.248,Windows 11,Chrome,0,16,18.0,40,3,122,
EMP014,2026-08-05T16:03:00,Bengaluru,India,12.97,77.59,157.160.0.192,Ubuntu,Firefox,0,19,61.7,414,1,200,
EMP011,2026-08-05T16:09:00,Chennai,India,13.08,80.27,106.113.207.158,macOS,Safari,1,19,19.1,10,11,180,
EMP003,2026-08-05T16:19:00,Pune,India,18.52,73.86,49.201.199.223,macOS,Safari,0,8,4.3,29,6,296,
EMP012,2026-08-05T16:28:00,Hyderabad,India,17.39,78.49,49.99.67.252,Windows 11,Edge,0,24,100.0,330,6,261,
EMP002,2026-08-05T16:54:00,Chennai,India,13.08,80.27,122.137.198.54,Windows 11,Edge,0,25,25.8,41,11,116,
EMP005,2026-08-05T17:13:00,Mumbai,India,19.08,72.88,117.11.65.9,Windows 11,Chrome,0,9,14.6,13,0,472,
EMP006,2026-08-05T17:37:00,Hyderabad,India,17.39,78.49,49.74.201.14,macOS,Chrome,0,69,846.5,265,10,43,
EMP004,2026-08-05T17:48:00,Bengaluru,India,12.97,77.59,117.103.10.192,Ubuntu,Firefox,0,46,152.4,1155,2,296,
EMP010,2026-08-05T18:09:00,Chennai,India,13.08,80.27,122.186.235.198,macOS,Chrome,0,15,27.8,372,1,92,
EMP013,2026-08-05T23:43:00,Kolkata,India,22.57,88.36,117.167.192.44,Windows 11,Chrome,1,12,14.5,131,1,262,
EMP013,2026-08-06T00:45:00,Kolkata,India,22.57,88.36,49.148.149.91,Windows 11,Chrome,0,6,4.1,105,0,171,
EMP005,2026-08-06T10:27:00,Mumbai,India,19.08,72.88,49.178.167.134,Windows 11,Chrome,0,8,15.3,14,0,433,
EMP015,2026-08-06T11:06:00,Vellore,India,12.92,79.13,157.20.60.199,Windows 11,Chrome,0,13,12.2,51,3,363,
EMP005,2026-08-06T11:55:00,Mumbai,India,19.08,72.88,106.79.126.186,Windows 11,Chrome,0,8,19.0,13,0,190,
EMP006,2026-08-06T12:15:00,Hyderabad,India,17.39,78.49,122.113.151.119,macOS,Chrome,0,14,231.9,345,1,199,
EMP012,2026-08-06T12:26:00,Hyderabad,India,17.39,78.49,117.48.247.125,Windows 11,Edge,0,18,52.6,452,4,135,
EMP011,2026-08-06T12:38:00,Chennai,India,13.08,80.27,106.40.224.172,iOS,Safari,0,12,14.2,12,3,158,
EMP009,2026-08-06T13:33:00,Mumbai,India,19.08,72.88,49.114.155.190,macOS,Safari,0,19,111.8,21,1,186,
EMP002,2026-08-06T13:45:00,Mumbai,India,19.08,72.88,157.240.241.215,iOS,Safari,0,18,18.5,31,6,55,
EMP001,2026-08-06T14:38:00,Kolkata,India,22.57,88.36,49.6.100.37,Windows 11,Chrome,0,6,14.6,216,0,172,
EMP007,2026-08-06T15:00:00,Hyderabad,India,17.39,78.49,122.221.160.67,Windows 11,Edge,1,7,10.1,11,2,185,
EMP001,2026-08-06T15:12:00,Kolkata,India,22.57,88.36,49.133.118.165,Windows 11,Chrome,0,11,21.6,174,0,209,
EMP008,2026-08-06T15:15:00,Pune,India,18.52,73.86,49.19.128.140,Windows 11,Chrome,0,10,8.8,30,3,334,
EMP014,2026-08-06T16:17:00,Bengaluru,India,12.97,77.59,106.42.108.11,Ubuntu,Firefox,0,18,31.2,767,3,156,
EMP009,2026-08-06T16:33:00,Mumbai,India,19.08,72.88,122.181.117.69,macOS,Safari,2,15,123.2,17,0,253,
EMP010,2026-08-06T16:43:00,Chennai,India,13.08,80.27,117.7.5.54,macOS,Chrome,0,11,17.5,224,0,251,
EMP003,2026-08-06T17:06:00,Bengaluru,India,12.97,77.59,49.223.50.89,iOS,Safari,0,12,8.0,23,4,318,
EMP002,2026-08-06T17:44:00,Mumbai,India,19.08,72.88,49.17.44.212,iOS,Safari,0,27,31.8,38,10,241,
EMP004,2026-08-06T20:13:00,Bengaluru,India,12.97,77.59,117.182.48.103,Ubuntu,Firefox,0,22,83.5,816,1,201,
EMP014,2026-08-07T02:52:00,Bengaluru,India,12.97,77.59,122.5.1.79,Ubuntu,Firefox,0,13,28.4,496,1,142,
EMP002,2026-08-07T09:00:00,Chennai,India,13.08,80.27,157.255.235.172,Windows 11,Edge,0,12,14.8,57,6,336,
EMP008,2026-08-07T10:07:00,Pune,India,18.52,73.86,122.122.227.27,Windows 11,Chrome,0,23,23.3,41,11,158,
EMP007,2026-08-07T10:44:00,Vellore,India,12.92,79.13,157.2.182.134,Windows 11,Edge,0,12,18.0,9,7,285,
